Model,Time,Accuracy,Precision,Recall,F1-Measure
Naive Bayes,0.01765894889831543,0.7887323943661971,0.7317073170731707,0.8823529411764706,0.8
Logistic Regression,0.08776617050170898,0.8309859154929577,,,
Random Forest,1.4967372417449951,0.7464788732394366,0.6739130434782609,0.9117647058823529,0.775
KNN,0.006796836853027344,0.43661971830985913,0.4318181818181818,0.5588235294117647,0.48717948717948717
SVM,0.12064194679260254,0.4788732394366197,0.4788732394366197,1.0,0.6476190476190475
Ada Boost,10.510035037994385,0.8169014084507042,0.8620689655172413,0.7352941176470589,0.7936507936507937
MLP,2.5582990646362305,0.7464788732394366,0.7352941176470589,0.7352941176470589,0.735294117647059
Decision Tree,0.01968097686767578,0.704225352112676,0.7096774193548387,0.6470588235294118,0.6769230769230768
