Model,Time,Accuracy,Precision,Recall,F1-Measure
Naive Bayes,0.011870861053466797,0.7464788732394366,0.7105263157894737,0.7941176470588235,0.7499999999999999
Logistic Regression,0.018483877182006836,0.5352112676056338,,,
Random Forest,3.687467098236084,0.647887323943662,0.6097560975609756,0.7352941176470589,0.6666666666666666
KNN,0.006927013397216797,0.5492957746478874,0.5416666666666666,0.38235294117647056,0.44827586206896547
SVM,0.11673283576965332,0.4788732394366197,0.4788732394366197,1.0,0.6476190476190475
Ada Boost,9.413323163986206,0.7887323943661971,0.7714285714285715,0.7941176470588235,0.782608695652174
MLP,2.486457109451294,0.7887323943661971,0.7567567567567568,0.8235294117647058,0.7887323943661971
Decision Tree,0.025586843490600586,0.7183098591549296,0.75,0.6176470588235294,0.6774193548387097
